N_PROF,N_LEVELS,JULD,LATITUDE,LONGITUDE,PRES,TEMP,PSAL,PRES_ADJUSTED,TEMP_ADJUSTED,PSAL_ADJUSTED
0,453,25812.160428245323,2.098,164.882,910.0,4.876,34.54,910.09,4.876,34.53996
0,454,25812.160428245323,2.098,164.882,912.0,4.871,34.54,912.09,4.871,34.53996
0,455,25812.160428245323,2.098,164.882,914.0,4.867,34.54,914.09,4.867,34.539955
0,456,25812.160428245323,2.098,164.882,916.0,4.864,34.54,916.09,4.864,34.539948
0,457,25812.160428245323,2.098,164.882,918.0,4.856,34.54,918.09,4.856,34.53996
0,458,25812.160428245323,2.098,164.882,920.0,4.852,34.541,920.09,4.852,34.540962
0,459,25812.160428245323,2.098,164.882,922.0,4.85,34.541,922.09,4.85,34.540962
0,460,25812.160428245323,2.098,164.882,924.0,4.85,34.541,924.09,4.85,34.540955
0,461,25812.160428245323,2.098,164.882,926.0,4.849,34.541,926.09,4.849,34.540955
0,462,25812.160428245323,2.098,164.882,928.0,4.847,34.541,928.09,4.847,34.540962
0,463,25812.160428245323,2.098,164.882,930.0,4.842,34.541,930.09,4.842,34.54096
0,464,25812.160428245323,2.098,164.882,932.0,4.839,34.541,932.09,4.839,34.54096
0,465,25812.160428245323,2.098,164.882,934.0,4.829,34.541,934.09,4.829,34.540943
0,466,25812.160428245323,2.098,164.882,936.0,4.815,34.541,936.09,4.815,34.54096
0,467,25812.160428245323,2.098,164.882,938.0,4.792,34.543,938.09,4.792,34.542946
0,468,25812.160428245323,2.098,164.882,940.0,4.777,34.544,940.09,4.777,34.543953
0,469,25812.160428245323,2.098,164.882,942.0,4.771,34.544,942.09,4.771,34.543953
0,470,25812.160428245323,2.098,164.882,944.0,4.767,34.544,944.09,4.767,34.543957
0,471,25812.160428245323,2.098,164.882,946.0,4.763,34.544,946.09,4.763,34.543957
0,472,25812.160428245323,2.098,164.882,948.0,4.758,34.544,948.09,4.758,34.543953
0,473,25812.160428245323,2.098,164.882,950.0,4.739,34.545,950.09,4.739,34.54496
0,474,25812.160428245323,2.098,164.882,952.0,4.726,34.545,952.09,4.726,34.54495
0,475,25812.160428245323,2.098,164.882,954.0,4.723,34.545,954.09,4.723,34.54495
0,476,25812.160428245323,2.098,164.882,956.0,4.718,34.545,956.09,4.718,34.54495
0,477,25812.160428245323,2.098,164.882,958.0,4.71,34.545,958.09,4.71,34.544952
0,478,25812.160428245323,2.098,164.882,960.0,4.7,34.546,960.09,4.7,34.545956
0,479,25812.160428245323,2.098,164.882,962.0,4.684,34.547,962.09,4.684,34.54696
0,480,25812.160428245323,2.098,164.882,964.0,4.679,34.547,964.09,4.679,34.546955
0,481,25812.160428245323,2.098,164.882,966.0,4.678,34.547,966.09,4.678,34.546963
0,482,25812.160428245323,2.098,164.882,968.0,4.675,34.547,968.09,4.675,34.546963
0,483,25812.160428245323,2.098,164.882,970.0,4.665,34.549,970.09,4.665,34.548954
0,484,25812.160428245323,2.098,164.882,972.0,4.655,34.55,972.09,4.655,34.549957
0,485,25812.160428245323,2.098,164.882,974.0,4.651,34.55,974.09,4.651,34.549957
0,486,25812.160428245323,2.098,164.882,976.0,4.643,34.551,976.09,4.643,34.550953
0,487,25812.160428245323,2.098,164.882,977.8,4.639,34.551,977.89,,
0,488,25812.160428245323,2.098,164.882,999.84,4.5598,34.5539,999.93005,4.5598,34.553864
0,489,25812.160428245323,2.098,164.882,1099.88,4.1763,34.5594,1099.97,4.1763,34.55935
0,490,25812.160428245323,2.098,164.882,1200.28,3.8386,34.5709,1200.37,3.8386,34.570858
0,491,25812.160428245323,2.098,164.882,1299.62,3.5788,34.5788,1299.71,3.5788,34.57876
0,492,25812.160428245323,2.098,164.882,1399.92,3.3381,34.5874,1400.01,3.3381,34.58735
0,493,25812.160428245323,2.098,164.882,1500.18,3.0749,34.5978,1500.27,3.0749,34.597755
0,494,25812.160428245323,2.098,164.882,1599.23,2.9348,34.6033,1599.32,2.9348,34.603256
0,495,25812.160428245323,2.098,164.882,1697.55,2.8552,34.6071,1697.64,2.8552,34.607056
